type,speciesID,scientificName,commonName,shortCode,speciesCode,active
tally-species,10374,Dasyatis dipterura,Diamond Stingray,DIST,559,
tally-species,10375,Urobatis halleri,Round Stingray,ROST,560,
tally-species,10376,Oceanodroma melania,Black Storm-Petrel,BSPE,959,
tally-species,10377,Oceanodroma leucorhoa,Leachs Storm-Petrel,LSPE,965,
tally-species,10378,Oceanodroma microsoma,Least Storm-Petrel,LPET,966,
tally-species,10379,Hydrobatidae,Storm-Petrel Unid,STPU,958,
tally-species,10380,Acipenser transmontanus,White Sturgeon,WSTG,232,
tally-species,10381,Acipenser,Sturgeon Unid,STUU,230,
tally-species,10382,Embiotoca jacksoni,Black Surfperch,BSCU,630,
tally-species,10383,Amphistichus koelzi,Calico Surfperch,CASU,631,
tally-species,10384,Brachyistius frenatus,Kelp Surfperch,KESU,632,
tally-species,10385,Rhacochilus vacca,Pile Surfperch,PISU,633,
tally-species,10386,Amphistichus rhodoterus,Redtail Surfperch,RESU,636,
tally-species,10387,Rhacochilus toxotes,Rubberlip Surfperch,RUSU,637,
tally-species,10388,Cymatogaster aggregata,Shiner Surfperch,SHSU,638,
tally-species,10389,Hyperprosopon ellipticum,Silver Surfperch,SISC,639,
tally-species,10390,Hyperprosopon anale,Spotfin Surfperch,SPSU,640,
tally-species,10391,Embiotoca lateralis,Striped Surfperch,STSU,641,
tally-species,10392,Embiotocidae,Surfperch Unid,SURU,642,
tally-species,10393,Hyperprosopon argenteum,Walleye Surfperch,WASU,643,
tally-species,10394,Phanerodon furcatus,White Surfperch,WHSU,644,
tally-species,10395,Symphurus atricauda,California Tonguefish,CATO,113,
tally-species,10396,Oncorhynchus clarkii clarkii,Cutthroat Trout,CUTR,227,
tally-species,10397,Platytroctidae,Tubeshoulder Unid,TUBU,807,
tally-species,10398,Thunnus obesus,Bigeye Tuna,BITU,711,
tally-species,10399,Thunnus thynnus,Bluefin Tuna,BTNA,712,
tally-species,10400,Thunnus albacares,Yellowfin Tuna,YTNA,714,
tally-species,10401,Pleuronichthys decurrens,Curlfin Sole,CSOL,117,
tally-species,10402,Hypsopsetta guttulata,Diamond Turbot,DTRB,121,
tally-species,10403,Pleuronichthys verticalis,Hornyhead Turbot,HTRB,122,
tally-species,10404,Pleuronichthys ritteri,Spotted Turbot,SPTU,123,
tally-species,10405,Chelonia mydas,Green Turtle,GRTU,1071,
tally-species,10406,Eretmochelys imbricata,Hawksbill Turtle,HATU,1072,
tally-species,10407,Caretta caretta,Loggerhead Turtle,LOTU,1074,
tally-species,10408,Lepidochelys olivacea,Olive Ridley Turtle,ORTU,1075,
tally-species,10409,Chelonidae,Turtle Unid,TURU,1070,
tally-species,10410,Allocentrotus fragilis,Pink Urchin,PIUR,56,
tally-species,10411,Strongylocentrotus franciscanus,Red Urchin,REUR,57,
tally-species,10412,Chauliodus macouni,Pacific Viperfish,PAVI,797,
tally-species,10413,Chauliodontinae,Viperfish Unid,VIPE,805,
tally-species,10414,Eubalaena glacialis,North Pacific Right Whale,NPRW,1038,
tally-species,10415,Balaenoptera musculus,Blue Whale,BLWH,1031,
tally-species,10416,Balaenoptera physalus,Fin Whale,FIWH,1033,
tally-species,10417,Balaenoptera borealis,Sei Whale,SEWH,1040,
tally-species,10418,Megaptera novaeangliae,Humpback Whale,HUWH,1035,
tally-species,10419,Eschrichtius robustus,Gray Whale,GRWH,1034,
tally-species,10420,Physeter macrocephalus,Sperm Whale,SPWH,1042,
tally-species,10421,Kogia sima,Dwarf Sperm Whale,DSWH,1032,
tally-species,10422,Cetacea,Whale Unid,WHAL,1043,
tally-species,10423,Anarrhichthys ocellatus,Wolf-eel,WEEL,780,
tally-species,10424,Cryptacanthodes giganteus,Giant Wrymouth,GIWR,760,
tally-species,10425,Cryptacanthodidae,Wrymouth Unid,WRYU,799,
tally-species,10426,Bivalvia,Clam Unid,CLAU,29,
tally-species,10427,Sebastes Shortraker/Rougheye/Blackspotted,Shortraker/Rougheye/Blackspotted Rockfish,SRRF,354,
tally-species,10428,Ascidiacea,Sea Squirts Unid,SSQU,47,
tally-species,10429,Hexanchus griseus,Sixgill Shark,SIXG,78,
tally-species,10430,Echinoidea,Urchin Unid,URCH,54,
tally-species,10431,Globicephala macrorhynchus,Short-finned Pilot Whale,SFPW,1041,
tally-species,10432,Mola mola,Mola Mola [Sunfish],MOLA,810,
tally-species,10433,Uria aalge,Common Murre,CNMU,989,
tally-species,10434,Bivalvia,Mussel Unid,MUSU,36,
tally-species,10435,Oncorhynchus keta,Chum [Dog] Salmon,CHUM,221,
tally-species,10436,Oncorhynchus tshawytscha,Chinook [King] Salmon,CHNK,222,
tally-species,10437,Oncorhynchus gorbuscha,Pink [Humpback] Salmon,PINK,225,
tally-species,10438,Oncorhynchus nerka,Sockeye [Red] Salmon,SOCK,224,
tally-species,10439,Oncorhynchus kisutch,Coho [Silver] Salmon,COHO,223,
tally-species,10440,Bivalvia,Scallop Unid,SCLU,42,
tally-species,10441,Caridea,Shrimp Unid,SHRU,70,
tally-species,10442,Pleuronichthys coenosus,C-O [C-O Turbot] Sole,CTRB,118,
tally-species,10443,Dosidicus gigas,Humboldt [Jumbo] Squid,HUSQ,620,
tally-species,10444,Oncorhynchus mykiss,Steelhead [Rainbow Trout],STLH,226,
tally-species,10445,Tunicata,Tunicata Unid,TUNU,49,
tally-species,10446,Ptychoramphus aleuticus,Cassins Auklet,CAAU,996,
tally-species,10447,Paralabrax nebulifer,Barred Sand Bass,BASB,475,
tally-species,10448,Morone saxatilis,Striped Bass,STRB,479,
tally-species,10449,Ziphius cavirostris,Cuviers Beaked Whale,CBWH,1003,
tally-species,10450,Neoloricata,Chiton Unid,CHIU,28,
tally-species,10451,Zaniolepis latipinnis,Longspine Combfish,LOCO,690,
tally-species,10452,Phalacrocorax penicillatus,Brandts Cormorant,BRCO,962,
tally-species,10453,Platymera gaudichaudii,Armed Box Crab,ABCB,5,
tally-species,10454,Chionoecetes spp.,Tanner Unid Crab,TCRB,3,
tally-species,10455,Crinoidea,Crinoids Unid,CRIU,53,
tally-species,10456,Genyonemus lineatus,White Croaker,WCRK,728,
tally-species,10457,Ophidion scrippsae,Basketweave Cusk-eel,BACE,264,
tally-species,10458,Decomposed fish,Decomposed Fish,DEFI,899,
