type,speciesID,scientificName,commonName,shortCode,speciesCode,active
tally-species,10658,Ophichthus triserialis,Pacific Snake Eel,PSEE,1261,
tally-species,10659,Moridae,Moridae Unid,MORI,1262,
tally-species,10660,Non-Eulachon Osmeriformes,Non-Eulachon Smelt Unid,NESU,1263,
tally-species,10661,Teuthida,Non Humboldt Squid Unid,NHSU,1264,
tally-species,10662,Clupeidae,Herring Unid,HERR,1265,
tally-species,10663,Ceratioidea,Dreamers Unid,DRMR,1266,
tally-species,10664,Caprellidae,Skeleton shrimp unid,SKSU,1267,
tally-species,10665,Trichiuridae,Scabbardfishes/Cutlassfishes Unid,SCAU,1268,
tally-species,10667,Ceratiidae,Seadevils,SEAD,1270,
tally-species,10668,Polychelidae,Blind lobster unid,BLOU,1271,
tally-species,10669,Stomatopoda,Mantis Shrimp,MASH,1272,
tally-species,10670,Nettastomatidae,Duckbill Eels,DUEE,1273,
tally-species,10671,Erilepis zonifer,Skilfish,SKILF,1274,
tally-species,10673,Thaliacea,Salp Unid,SALP,1275,
tally-species,10675,Velella velella,Sail Jellyfish,SAJE,1276,
tally-species,10676,Diretmidae,Spinyfins,SPFI,1277,
tally-species,10677,Balistidae,Triggerfish Unid,OTHR,1278,
tally-species,10678,Stercorarius parasiticus,Parasitic Jaeger,PAJA,1279,
tally-species,10679,Stercorarius maccormicki,South Polar Skua,SKUA,1280,
tally-species,10680,Hydrolagus melanophasma,Eastern Pacific Black Ghost Shark,PBGS,1281,
tally-species,10681,Charadrius alexandrinus,Snowy Plover,SNPO,1282,
tally-species,10682,Zalieutes elater,Spotted Batfish,SPBA,1283,
tally-species,10683,Ectoprocta,Ectoprocta,ECTO,1284,
tally-species,10684,Alopias,Thresher Shark Unid,THRS,1285,
tally-species,10685,Sternula antillarum browni,California Least Tern,CLTE,1286,
tally-species,10686,Sepiolida,Bobtail Squid,BOSQ,1287,
tally-species,10687,Primnoidae,Primnoid Unid,PRIU,1288,
tally-species,10688,Ptilosarcus gurneyi,Orange Sea Pen,OSPE,1289,
tally-species,10689,Umbelluilidae sp.,Umbelluilidae sp.,UMBE,1290,
tally-species,10690,Anthoptilum grandiflorum,Anthoptilum grandiflorum,ANGR,1291,
tally-species,10691,Anthomastus ritteri,Mushroom Coral,MUCO,1292,
tally-species,10702,TEST,TEST,,2222,0
tally-species,10703,Parastichopus californicus,CA Sea Cucumber,USCU,1293,
tally-species,10704,Parastichopus parvimensis,Warty Sea Cucumber,WSCU,1294,
tally-species,10705,Cetacean Unid,Cetacean Unid,CETU,1295,
tally-species,10706,Stercorarius pomarinus,Pomarine Jaeger,POJA,1296,
tally-species,10707,Stercorarius longicaudus,Long-Tailed Jaeger,LTJA,1297,
tally-species,10708,Bellator xenisma,Splitnose Searobin,SPSE,1300,
tally-species,10709,Phalaropus lobatus,Red-necked Phalarope,REPH,1301,
tally-species,10710,Entosphenus tridentatus,Pacific Lamprey,PALA,1298,
tally-species,10711,Lampetra ayresii,River Lamprey,RILA,1299,
tally-species,10712,Muraenidae,Moray Unid,MORU,1302,
tally-species,10713,Phaethon aethereus,Red-billed Tropicbird,RBTR,1303,
